Year,Country,Arable-Land
China,2011,11.34614465
China,2012,11.28223471
China,2013,11.2609314
Cambodia,1991,20.96079764
Cambodia,1992,20.96079764
Cambodia,1993,21.05143893
Cambodia,1994,20.96079764
Cambodia,1995,20.96079764
Cambodia,1996,20.96079764
Cambodia,1997,20.96079764
Cambodia,1998,20.96079764
Cambodia,1999,20.96079764
Cambodia,2000,20.96079764
Cambodia,2001,20.96079764
Cambodia,2002,20.96079764
Cambodia,2003,20.96079764
Cambodia,2004,20.96079764
Cambodia,2005,20.96079764
Cambodia,2006,21.52730569
Cambodia,2007,21.52730569
Cambodia,2008,22.09381373
Cambodia,2009,22.09381373
Cambodia,2010,22.66032178
Cambodia,2011,22.66032178
Cambodia,2012,23.22682982
Cambodia,2013,23.48175844
Brunei.Darussalam,1991,0.379506641
Brunei.Darussalam,1992,0.379506641
Brunei.Darussalam,1993,0.379506641
Brunei.Darussalam,1994,0.379506641
Brunei.Darussalam,1995,0.379506641
Brunei.Darussalam,1996,0.379506641
Brunei.Darussalam,1997,0.379506641
Brunei.Darussalam,1998,0.379506641
Brunei.Darussalam,1999,0.379506641
Brunei.Darussalam,2000,0.379506641
Brunei.Darussalam,2001,0.379506641
Brunei.Darussalam,2002,0.379506641
Brunei.Darussalam,2003,0.379506641
Brunei.Darussalam,2004,0.379506641
Brunei.Darussalam,2005,0.379506641
Brunei.Darussalam,2006,0.379506641
Brunei.Darussalam,2007,0.569259962
Brunei.Darussalam,2008,0.569259962
Brunei.Darussalam,2009,0.759013283
Brunei.Darussalam,2010,0.759013283
Brunei.Darussalam,2011,0.759013283
Brunei.Darussalam,2012,0.759013283
Brunei.Darussalam,2013,0.948766603
Australia,1991,5.94873931
Australia,1992,6.143993335
Australia,1993,6.02684092
Australia,1994,6.15701027
Australia,1995,5.21940044
Australia,1996,4.723064707
Australia,1997,5.189982167
Australia,1998,5.734610729
Australia,1999,5.92661052
Australia,2000,6.157530948
Australia,2001,6.483344832
Australia,2002,6.221964776
Australia,2003,6.123166239
Australia,2004,6.214675293
Australia,2005,6.430626245
Australia,2006,6.211030551
Australia,2007,5.745675123
Australia,2008,5.724717858
Australia,2009,5.937805084
Australia,2010,5.541048905
Australia,2011,6.206214285
Australia,2012,6.132668602
Australia,2013,6.016297203
American.Samoa,1991,5
American.Samoa,1992,6
American.Samoa,1993,6
American.Samoa,1994,6
American.Samoa,1995,7.5
American.Samoa,1996,10
American.Samoa,1997,10
American.Samoa,1998,12
American.Samoa,1999,12.5
American.Samoa,2000,12.5
American.Samoa,2001,12.5
American.Samoa,2002,12.5
American.Samoa,2003,16.7
American.Samoa,2004,16.5
American.Samoa,2005,16.5
American.Samoa,2006,16.5
American.Samoa,2007,15
American.Samoa,2008,14.8
American.Samoa,2009,15
American.Samoa,2010,15
American.Samoa,2011,15
American.Samoa,2012,15
American.Samoa,2013,15
