"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"China","CHN","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","18.03","18.93","19.69","21.08","22.82","24.59","24.86","24.69","24.83","26.62","27.53","26.66","30.06","30.22","30.84","30.48","31.08","34.42","35.38","35","36.99","40.77","44.08","47.98","46.14","47.07","49.54","49.82","50.92","55.09","55.88","57.83","61.79","63.39","67.98","73.52","75.88","78.22","80.77","84.76","86.89","90.83","90.52","97.35","100.12","102.54","108.04","114.72","116.77","120.54","126.73","131.05","133.55","","",
"Cote d'Ivoire","CIV","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","18.04","18.79","20.94","23.44","22.32","25.2","23.19","27.38","27.43","29.35","30.68","30.66","33.38","34.54","40","40.13","40.51","41.04","45.47","47.26","51.24","47.95","47.74","50.84","55.54","57.16","59.58","62.39","63.73","68.35","66.59","69.66","68.05","70.81","78.31","83.19","86.84","91.64","93.47","100.92","93.75","95.08","93.95","95.67","99.99","104.34","99.38","105.77","99.24","106.53","110.19","120.41","123.59","","",
"Cameroon","CMR","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","25.96","27.99","31.04","31.8","29.7","30.78","34.5","36.17","35.88","39.11","39.82","41.72","42.68","46.71","46.66","43.87","44.66","44.1","45.18","46.32","47.32","49.21","48.59","49.06","52.2","56.62","48.58","51.64","52.53","54.57","56.17","56.07","59.29","63.11","67.24","71.68","67.73","72.2","75.43","77.44","78.26","80.25","83.03","85.55","103.54","110.91","116.67","120.57","131.34","144.55","148.28","156.48","161.18","","",
"Congo, Rep.","COG","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","42.28","43.49","44.15","46.02","48.21","49.44","54.18","53.74","52.85","52.36","53.52","51.04","52.9","50.85","52.3","53.17","54.65","52.77","54.03","55.53","57.88","61.2","59.89","62.71","65.49","63.35","64.86","67.28","65.97","65.55","62.78","64.06","65.31","70.15","76.91","79.91","79.99","77.96","84.08","86.18","87.84","89.35","90.92","95.69","100.15","104.16","106.92","112.14","114.77","112.87","114.48","122.51","127.16","","",
"Colombia","COL","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","31.76","34.76","32.72","34.89","35.26","36.67","37.61","40.02","40.09","41.48","42.34","44.26","46.83","50.04","54.71","55.7","58.19","63.05","64.15","65.42","66.68","63.18","63.55","65.75","63.54","66.62","67.42","70.43","74.16","78.86","81.09","84.25","80.47","79.73","83.08","82.32","83.29","79.74","87.66","88.34","89.37","92.28","97.72","100.31","99.32","100.37","104.42","103.08","100.16","96.79","96.03","98.59","108.15","","",
"Comoros","COM","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","41.66","41.28","46.2","46.21","46.75","47.37","48.08","48.33","50.9","49","50.36","48.98","48.28","52.1","51.93","51.32","54.78","54.91","56.51","58.06","53.75","58.88","60.46","56.66","59.77","63.4","68.85","71.32","71.38","78.36","80.41","82.29","85.62","85.6","86.25","88.82","87.35","91.98","93.57","94.97","96.9","96.49","98.79","102.57","95.2","102.23","101.82","98.65","107.14","113.14","108.84","111.68","113.06","","",
"Cabo Verde","CPV","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","42.16","46.21","48","51.75","57.06","59.06","59.32","41.46","42.09","34.28","29.06","27.85","26.62","27.48","28.19","33.72","33.11","36.71","40.38","57.26","35","33.58","30.44","42.38","36.57","46.75","78.81","73.06","72.64","63.61","52.82","48.83","49.5","45.1","46.7","54.33","51.37","55.97","78.56","105.26","105.67","97.75","106.32","103.9","96.72","99.38","99.18","105.2","100.32","98.3","100.54","104.59","99.8","","",
"Costa Rica","CRI","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","16.31","17.47","18.08","18.21","19.96","22.13","23.09","26.34","29.41","31.71","34.58","34.71","37.32","34.56","36.92","36.38","37.24","39.15","39.21","38.94","40.11","38.79","41.5","43.23","40.52","42.61","43.89","46.56","56.76","61.83","63.36","68.9","69.35","72.24","74.07","79.58","80.88","86.14","88.66","89.28","89.83","85.29","89.49","91.89","96.54","111.57","106.84","102.75","103.42","110.8","115.43","120.51","121.91","","",
"Caribbean small states","CSS","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","89.6605655572162","89.8360699279697","92.1216108399999","96.1075418866005","101.37931316293","101.279506544638","101.190834953361","96.836017828302","95.5668290609903","96.8158930547057","99.2772448061229","96.0294945412829","89.0758234046009","94.596651523711","91.4312391650569","93.3498349666409","95.6673507727607","101.154365185981","95.8017883466324","96.1068267931225","96.3289143961598","95.0374555748177","89.1164815766381","94.4602729818275","94.0762677841194","97.4915542352433","94.6733708382837","97.0535084018376","91.8380251978511","92.2717804703885","95.9384733571494","104.376167773189","107.896777278007","108.960427748487","116.36236033969","120.589788669446","115.730217705102","106.150621160842","110.319922606454","103.948950498165","105.740157504446","102.069684837873","104.130686397798","104.110255155569","93.2402213520784","102.649523492353","101.286657479418","94.8315086531419","99.9956072829206","100.786296357212","104.196066372934","107.314486874459","113.411271712026","","",
"Cuba","CUB","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","87.03","64.72","57.21","62.77","78.85","63.93","80.79","73.9","69.39","117.58","83.56","75.24","81.53","90.16","87.49","90.36","99.33","113.23","122.51","106.55","114.12","120.77","114.99","127.79","118.07","119","120.63","128.76","134.73","134.29","130.78","116.24","79","78.1","71.41","87.19","84.25","77.1","94.18","111.94","110.6","118.31","116.18","123.08","96.82","80.1","83.07","83.35","87.2","76.51","85.93","86.57","90.33","","",
